Rnd,Pick,Tm,Player,Pos,Age,To,-9999
6,205,ARI,Harlan Miller,CB,22,2018,MillHa00
6,206,LAR,Mike Thomas,WR,22,2022,ThomMi04
6,207,SFO,Jeff Driskel,QB,23,2022,DrisJe00
6,208,NWE,Kamu Grugier-Hill,OLB,22,2023,GrugKa00
6,209,BAL,Maurice Canady,CB,22,2021,CanaMa00
6,210,DET,Jimmy Landes,LS,24,,LandJi00
6,211,SFO,Kelvin Taylor,RB,22,,TaylKe01
6,212,DAL,Kavon Frazier,S,22,2021,FrazKa00
6,213,SFO,Aaron Burbridge,WR,22,2016,BurbAa00
6,214,NWE,Elandon Roberts,ILB,22,2023,RobeEl00
6,215,SEA,Joey Hunt,C,22,2020,HuntJo00
6,216,DAL,Darius Jackson,RB,22,2018,JackDa01
6,217,DAL,Rico Gathers,TE,22,2018,GathRi00
6,218,BUF,Kevon Seymour,CB,22,2023,SeymKe00
6,219,DEN,Will Parks,S,22,2022,ParkWi01
6,220,PIT,Travis Feeney,OLB,23,,FeenTr00
6,221,NWE,Ted Karras,G,23,2023,KarrTe00
7,222,TEN,Aaron Wallace,OLB,23,2018,WallAa00
7,223,MIA,Brandon Doughty,QB,24,,DougBr00
7,224,SDG,Donavon Clark,G,23,,ClarDo00
7,225,NWE,Devin Lucien,WR,23,,LuciDe00
7,226,JAX,Jonathan Woodard,DE,22,2018,WoodJo00
7,227,MIN,Stephen Weatherly,OLB,22,2021,WeatSt00
7,228,DEN,Riley Dixon,P,23,2023,DixoRi00
7,229,PIT,Demarcus Ayers,WR,22,2016,AyerDe00
7,230,CHI,Daniel Braverman,WR,22,2016,BravDa00
7,231,MIA,Thomas Duarte,TE,21,2016,DuarTh00
7,232,WAS,Steven Daniels,ILB,23,,DaniSt00
7,233,PHI,Jalen Mills,S,22,2023,MillJa02
7,234,OAK,Vadal Alexander,G,22,2017,AlexVa00
7,235,NYJ,Lac Edwards,P,24,2021,EdwaLa01
7,236,DET,Dwayne Washington,RB,22,2023,WashDw00
