player,player_id,position,player_game_count,percentage_games_played,grades_offense,raw_usage,usage_rate,raw_value_provided,year,draft_year,draft_team,draft_round,draft_pick,sum_raw_value_provided,expected_value,value_delta,team_name,Best_Match,Similarity_Score,round.x,pick.x,timestamp,team,playerid,full_name,name,associated_round,associated_pick,associated_team,count_text,mean_sentiment,comment_count,Team_Sentiment_Comment_Proportion,Team_Sentiment_Mean,offensive_word_count,pick.y,round.y,Direct_mentions,Indirect_mentions,avg_sentiment_direct_mentions,avg_sentiment_indirect_mentions,Direct_mention_binary
Brandon Aiyuk,84109,WR,12,0.75,80.1,455,37.92,60.08,2020,2020,SF,1,25,214.78,143.783333333333,70.9966666666667,SF,Brandon Aiyuk,100,1,25,1587698100,SF,AiyuBr00,Brandon Aiyuk,B.Aiyuk,1,25,SF,5075.0,0.098733121,16341.0,0.043883536,0.113882776,472.0,25.0,1.0,144.0,4931.0,0.172192908,0.096614522,1.0
Brandon Jones,43049,S,16,1.0,60.8,385,24.06,60.8,2020,2020,MIA,3,70,133.08,132.52,0.559999999999974,MIA,Brandon Jones,100,3,70,1587779880,MIA,JoneBr06,Brandon Jones,B.Jones,3,70,MIA,704.0,0.150004286,14079.0,0.037808965,0.123932132,54.0,70.0,3.0,41.0,663.0,0.0985875,0.153120455,1.0
Bravvion Roy,25644,DI,15,0.94,43.9,419,27.93,41.16,2020,2020,CAR,6,184,130.05,94.0264705882353,36.0235294117647,CAR,Bravvion Roy,100,6,184,1587844320,CAR,RoyxBr00,Bravvion Roy,B.Roy,6,184,CAR,209.0,0.130009756,6452.0,0.017326759,0.12620506,21.0,184.0,6.0,0.0,209.0,0.0,0.130009756,0.0
Gabe Davis,55410,WR,16,1.0,64.9,508,31.75,64.9,2020,2020,BUF,4,128,190.91,88.7952173913043,102.114782608696,BUF,Gabriel Davis,87,4,128,1587834900,BUF,DaviGa01,Gabriel Davis,G.Davis,4,128,BUF,850.0,0.16258943,7532.0,0.020227085,0.117431424,53.0,128.0,4.0,14.0,836.0,0.06105,0.16405747,1.0
Bryan Edwards,28486,WR,11,0.69,69.5,143,13.0,47.78,2020,2020,LV,3,81,128.71,133.187894736842,-4.4778947368421,LV,Bryan Edwards,100,3,81,1587782160,LV,EdwaBr01,Bryan Edwards,B.Edwards,3,81,LV,682.0,0.113360863,11083.0,0.029763248,0.107186085,58.0,81.0,3.0,18.0,664.0,0.026472222,0.115752294,1.0
Bryce Hall,42313,CB,8,0.5,59.9,547,68.38,29.95,2020,2020,NYJ,5,158,98.07,66.1504761904762,31.9195238095238,NYJ,Bryce Hall,100,5,158,1587840120,NYJ,HallBr02,Bryce Hall,B.Hall,5,158,NYJ,750.0,0.108785676,14679.0,0.039420257,0.113141363,62.0,158.0,5.0,50.0,700.0,0.027306,0.11469,1.0
Lynn Bowden,61361,WR,10,0.63,68.8,221,22.1,43.0,2020,2020,LV,3,80,43.0,133.187894736842,-90.1878947368421,MIA,Lynn Bowden Jr.,88,3,80,1587781980,LV,BowdLy00,Lynn Bowden Jr.,L.Jr.,3,80,LV,882.0,0.10540725,11083.0,0.029763248,0.107186085,79.0,80.0,3.0,36.0,846.0,0.049885714,0.10773729,1.0
Brycen Hopkins,47338,TE,3,0.18,52.4,19,6.33,9.25,2021,2020,LAR,4,136,57.89,123.521538461538,-65.6315384615385,LAR,Brycen Hopkins,100,4,136,1587836280,LA,HopkBr01,Brycen Hopkins,B.Hopkins,4,136,LA,637.0,0.153372727,3476.0,0.009334751,0.13010574,48.0,136.0,4.0,7.0,630.0,0.36385,0.15133913,1.0
Cam Akers,57206,HB,13,0.81,68.4,156,12.0,55.58,2020,2020,LAR,2,52,129.8,156.463333333333,-26.6633333333334,LAR,Cam Akers,100,2,52,1587775140,LA,AkerCa00,Cam Akers,C.Akers,2,52,LA,1063.0,0.060039623,3476.0,0.009334751,0.13010574,103.0,52.0,2.0,52.0,1011.0,0.144405769,0.055687401,1.0
Cam Brown,42516,ED,11,0.69,45.9,94,8.55,31.56,2020,2020,NYG,6,183,44.33,73.076,-28.746,NYG,Cam Brown,100,6,183,1587844140,NYG,BrowCa01,Cam Brown,C.Brown,6,183,NYG,813.0,0.086077709,12490.0,0.033541727,0.126600401,80.0,183.0,6.0,22.0,791.0,0.183909091,0.083321895,1.0
Cameron Dantzler,42472,CB,11,0.69,70.9,601,54.64,48.74,2020,2020,MIN,3,89,142.3,103.0045,39.2955,MIN,Cameron Dantzler,100,3,89,1587783960,MIN,DantCa00,Cameron Dantzler,C.Dantzler,3,89,MIN,566.0,0.108677442,21534.0,0.057829268,0.114465213,40.0,89.0,3.0,23.0,543.0,0.179904348,0.105643704,1.0
Carlos Davis,48662,DI,7,0.44,60.2,54,7.71,26.34,2020,2020,PIT,7,232,42.81,60.8544444444444,-18.0444444444444,PIT,Carlos Davis,100,7,232,1587852180,PIT,DaviCa03,Carlos Davis,C.Davis,7,232,PIT,483.0,0.101904459,7495.0,0.020127722,0.12302311,43.0,232.0,7.0,2.0,481.0,-0.07655,0.102665458,1.0
Carter Coughlin,43498,ED,10,0.63,42.7,193,19.3,26.69,2020,2020,NYG,7,218,45.74,58.337,-12.597,NYG,Carter Coughlin,100,7,218,1587850200,NYG,CougCa00,Carter Coughlin,C.Coughlin,7,218,NYG,179.0,0.107697714,12490.0,0.033541727,0.126600401,13.0,218.0,7.0,5.0,174.0,0.31372,0.101638235,1.0
Casey Toohill,38472,ED,7,0.44,69.3,51,7.29,30.32,2020,2020,PHI,7,233,137.61,58.337,79.273,WAS,Casey Toohill,100,7,233,1587852360,PHI,ToohCa00,Casey Toohill,C.Toohill,7,233,PHI,320.0,0.203023323,35223.0,0.094590893,0.058375155,26.0,233.0,7.0,4.0,316.0,0.291825,0.201873786,1.0
James Proche II,48037,WR,8,0.5,61.4,14,1.75,30.7,2020,2020,BAL,6,201,122.6,67.7133333333333,54.8866666666667,BAL,James Proche,89,6,201,1587847260,BAL,ProcJa00,James Proche,J.Proche,6,201,BAL,804.0,0.103033588,12762.0,0.034272179,0.109538109,68.0,201.0,6.0,28.0,776.0,-0.035992857,0.108169129,1.0
Cassh Maluia,43524,LB,2,0.13,42.2,11,5.5,5.28,2020,2020,NE,6,204,5.28,61.961875,-56.681875,NE,Cassh Maluia,100,6,204,1587847860,NE,MaluCa00,Cassh Maluia,C.Maluia,6,204,NE,347.0,0.137672093,18402.0,0.049418324,0.096257174,28.0,204.0,6.0,9.0,338.0,0.222777778,0.135385672,1.0
CeeDee Lamb,61570,WR,16,1.0,71.6,539,33.69,71.6,2020,2020,DAL,1,17,237.24,143.783333333333,93.4566666666667,DAL,CeeDee Lamb,100,1,17,1587694740,DAL,LambCe00,CeeDee Lamb,C.Lamb,1,17,DAL,5835.0,0.02972724,13812.0,0.03709194,0.111480222,753.0,17.0,1.0,485.0,5350.0,0.030672083,0.029641878,1.0
Cesar Ruiz,59857,OL,14,0.88,58.6,744,53.14,51.28,2020,2020,NO,1,24,155.49,161.561785714286,-6.07178571428571,NO,Cesar Ruiz,100,1,24,1587697740,NO,RuizCe00,Cesar Ruiz,C.Ruiz,1,24,NO,3141.0,0.076208974,6684.0,0.017949792,0.102622322,339.0,24.0,1.0,122.0,3019.0,0.074655738,0.076272181,1.0
Chapelle Russell,38876,LB,2,0.13,29.2,4,2.0,3.65,2020,2020,TB,7,241,21.44,47.888947368421,-26.4489473684211,TB,Chapelle Russell,100,7,241,1587853440,TB,RussCh00,Chapelle Russell,C.Russell,7,241,TB,631.0,0.159544534,5184.0,0.013921562,0.114079188,50.0,241.0,7.0,1.0,630.0,0.0,0.159154267,1.0
Charlie Heck,36501,OL,3,0.19,58.6,103,34.33,10.99,2020,2020,HOU,4,126,106.27,71.4645833333333,34.8054166666667,HOU,Charlie Heck,100,4,126,1587834540,HOU,HeckCh00,Charlie Heck,C.Heck,4,126,HOU,707.0,0.133425793,5066.0,0.013604675,0.09754653,55.0,126.0,4.0,38.0,669.0,0.076380556,0.136546809,1.0
Charlie Woerner,42257,TE,9,0.56,56.3,38,4.22,31.67,2020,2020,SF,6,190,131.39,91.7177777777778,39.6722222222222,SF,Charlie Woerner,100,6,190,1587845460,SF,WoerCh00,Charlie Woerner,C.Woerner,6,190,SF,862.0,0.140408314,16341.0,0.043883536,0.113882776,71.0,190.0,6.0,5.0,857.0,0.0,0.141235218,1.0
Chase Claypool,42312,WR,16,1.0,75.6,474,29.63,75.6,2020,2020,PIT,2,49,189.87,162.511578947368,27.3584210526316,PIT,Chase Claypool,100,2,49,1587774360,PIT,ClayCh01,Chase Claypool,C.Claypool,2,49,PIT,1382.0,0.110345508,7495.0,0.020127722,0.12302311,129.0,49.0,2.0,76.0,1306.0,0.125594737,0.109449188,1.0
Chase Young,56436,ED,15,0.94,87.2,770,51.33,81.75,2020,2020,WAS,1,2,135.35,147.105217391304,-11.7552173913043,WAS,Chase Young,100,1,2,1587688380,WAS,YounCh04,Chase Young,C.Young,1,2,WAS,15533.0,0.026324719,7335.0,0.019698044,0.108911643,1545.0,2.0,1.0,369.0,15164.0,0.11024065,0.024261487,1.0
Chris Claybrooks,76692,CB,12,0.75,54.4,375,31.25,40.8,2020,2020,JAX,7,223,81.45,65.7821428571429,15.6678571428571,JAX,Chris Claybrooks,100,7,223,1587850980,JAX,ClayCh02,Chris Claybrooks,C.Claybrooks,7,223,JAX,351.0,0.160691429,6713.0,0.018027671,0.117975776,42.0,223.0,7.0,3.0,348.0,0.3295,0.159231988,1.0
Chris Jackson,42512,CB,9,0.56,32.5,241,26.78,18.28,2020,2020,TEN,7,243,56.97,65.7821428571429,-8.81214285714285,TEN,Chris Jackson,100,7,243,1587853740,TEN,JackCh01,Chris Jackson,C.Jackson,7,243,TEN,157.0,0.097925806,4841.0,0.01300044,0.108463721,9.0,243.0,7.0,1.0,156.0,0.0,0.099062987,1.0
Chris Williamson,49490,CB,4,0.24,50.5,55,13.75,11.88,2021,2020,NYG,7,247,11.88,65.7821428571429,-53.9021428571429,ATL,Chris Williamson,100,7,247,1587854160,NYG,WillCh07,Chris Williamson,C.Williamson,7,247,NYG,690.0,0.157195448,12490.0,0.033541727,0.126600401,64.0,247.0,7.0,7.0,683.0,0.4273,0.154390208,1.0
Clay Johnston,25685,LB,1,0.06,67.2,3,3.0,4.2,2020,2020,LAR,7,234,29.68,47.888947368421,-18.208947368421,CAR,Clay Johnston,100,7,234,1587852480,LA,JohnCl00,Clay Johnston,C.Johnston,7,234,LA,432.0,0.178159294,3476.0,0.009334751,0.13010574,40.0,234.0,7.0,3.0,429.0,0.486033333,0.175970616,1.0
Clyde Edwards-Helaire,57279,HB,13,0.81,75.3,217,16.69,61.18,2020,2020,KC,1,32,138.76,173.771428571429,-35.0114285714286,KC,Clyde Edwards-Helaire,100,1,32,1587615000,KC,EdwaCl00,Clyde Edwards-Helaire,C.Edwards-Helaire,1,32,KC,,,,,,,,,,,,,
Colby Parkinson,52266,TE,5,0.31,68.4,24,4.8,21.38,2020,2020,SEA,4,133,131.03,123.521538461538,7.50846153846155,SEA,Colby Parkinson,100,4,133,1587835680,SEA,ParkCo02,Colby Parkinson,C.Parkinson,4,133,SEA,1318.0,0.078195706,13602.0,0.036527988,0.106199573,155.0,133.0,4.0,13.0,1305.0,0.187658333,0.077179025,1.0
Cole Kmet,60995,TE,16,1.0,58.7,326,20.38,58.7,2020,2020,CHI,2,43,189.7,152.885,36.815,CHI,Cole Kmet,100,2,43,1587772800,CHI,KmetCo00,Cole Kmet,C.Kmet,2,43,CHI,2642.0,0.075860952,12731.0,0.034188929,0.117120924,231.0,43.0,2.0,107.0,2535.0,0.098894393,0.074882168,1.0
Collin Johnson,47808,WR,14,0.88,73.4,180,12.86,64.23,2020,2020,JAX,5,165,108.21,122.469333333333,-14.2593333333333,JAX,Collin Johnson,100,5,165,1587841200,JAX,JohnCo01,Collin Johnson,C.Johnson,5,165,JAX,527.0,0.152723992,6713.0,0.018027671,0.117975776,46.0,165.0,5.0,15.0,512.0,0.236314286,0.150415779,1.0
Colton McKivitz,29314,OL,9,0.56,53.1,301,33.44,29.87,2020,2020,SF,5,153,57.59,75.922380952381,-18.3323809523809,SF,Colton McKivitz,100,5,153,1587839220,SF,McKiCo00,Colton McKivitz,C.McKivitz,5,153,SF,676.0,0.150125484,16341.0,0.043883536,0.113882776,61.0,153.0,5.0,1.0,675.0,0.0,0.150349552,1.0
Curtis Weaver,43751,ED,1,0.06,76.3,6,6.0,4.49,2021,2020,MIA,5,164,4.49,72.9830769230769,-68.4930769230769,CLV,Curtis Weaver,100,5,164,1587841080,MIA,WeavCu00,Curtis Weaver,C.Weaver,5,164,MIA,587.0,0.12934714,14079.0,0.037808965,0.123932132,44.0,164.0,5.0,22.0,565.0,-0.0159,0.134833094,1.0
D.J. Wonnum,44550,ED,14,0.88,51.1,471,33.64,44.71,2020,2020,MIN,4,117,149.8,112.83125,36.96875,MIN,D.J. Wonnum,100,4,117,1587832680,MIN,WonnDJ00,D.J. Wonnum,D.Wonnum,4,117,MIN,295.0,0.084912628,21534.0,0.057829268,0.114465213,23.0,117.0,4.0,14.0,281.0,0.267614286,0.075744803,1.0
D'Andre Swift,57212,HB,13,0.81,69.4,160,12.31,56.39,2020,2020,DET,2,35,165.06,156.463333333333,8.59666666666666,DET,D'Andre Swift,100,2,35,1587770640,DET,SwifDA00,D'Andre Swift,D.Swift,2,35,DET,2529.0,0.115143713,14503.0,0.038947612,0.124482496,214.0,35.0,2.0,231.0,2298.0,0.189061333,0.107849211,1.0
Dalton Keene,61068,TE,6,0.38,42.2,89,14.83,15.83,2020,2020,NE,3,101,15.83,134.018571428571,-118.188571428571,NE,Dalton Keene,100,3,101,1587786480,NE,KeenDa00,Dalton Keene,D.Keene,3,101,NE,859.0,0.126499527,18402.0,0.049418324,0.096257174,69.0,101.0,3.0,23.0,836.0,0.082618182,0.127671117,1.0
Damien Lewis,81532,OL,16,1.0,70.2,967,60.44,70.2,2020,2020,SEA,3,69,181.44,101.723333333333,79.7166666666667,SEA,Damien Lewis,100,3,69,1587779520,SEA,LewiDa05,Damien Lewis,D.Lewis,3,69,SEA,2437.0,0.148372512,13602.0,0.036527988,0.106199573,195.0,69.0,3.0,50.0,2387.0,0.136081633,0.14862738,1.0
Damon Arnette,28080,CB,9,0.56,41.7,343,38.11,23.46,2020,2020,LV,1,19,31.2,148.671428571429,-117.471428571429,LV,Damon Arnette,100,1,19,1587695580,LV,ArneDa00,Damon Arnette,D.Arnette,1,19,LV,4580.0,0.092779341,11083.0,0.029763248,0.107186085,402.0,19.0,1.0,87.0,4493.0,0.195081176,0.090831825,1.0
Dane Jackson,32989,CB,4,0.25,68.4,193,48.25,17.1,2020,2020,BUF,7,239,112.58,65.7821428571429,46.7978571428572,BUF,Dane Jackson,100,7,239,1587853140,BUF,JackDa02,Dane Jackson,D.Jackson,7,239,BUF,310.0,0.126943,7532.0,0.020227085,0.117431424,24.0,239.0,7.0,2.0,308.0,0.8979,0.124364548,1.0
Daniel Thomas,42544,S,6,0.38,52.3,162,27.0,19.61,2020,2020,JAX,5,157,50.69,67.2618181818182,-16.5718181818182,JAX,Daniel Thomas,100,5,157,1587839880,JAX,ThomDa07,Daniel Thomas,D.Thomas,5,157,JAX,828.0,0.152232763,6713.0,0.018027671,0.117975776,69.0,157.0,5.0,4.0,824.0,0.343025,0.151295209,1.0
Danny Pinter,47339,OL,9,0.56,58.0,103,11.44,32.63,2020,2020,IND,5,149,117.78,75.922380952381,41.8576190476191,IND,Danny Pinter,100,5,149,1587838500,IND,PintDa00,Danny Pinter,D.Pinter,5,149,IND,892.0,0.130387016,9313.0,0.025009936,0.130396679,66.0,149.0,5.0,1.0,891.0,0.0,0.129974002,1.0
Darnay Holmes,56247,CB,12,0.75,48.1,442,36.83,36.08,2020,2020,NYG,4,110,110.75,82.3886666666667,28.3613333333333,NYG,Darnay Holmes,100,4,110,1587831720,NYG,HolmDa01,Darnay Holmes,D.Holmes,4,110,NYG,413.0,0.127098786,12490.0,0.033541727,0.126600401,29.0,110.0,4.0,5.0,408.0,-0.04948,0.129268059,1.0
Darnell Mooney,48236,WR,16,1.0,68.7,537,33.56,68.7,2020,2020,CHI,5,173,192.25,122.469333333333,69.7806666666667,CHI,Darnell Mooney,100,5,173,1587842760,CHI,MoonDa00,Darnell Mooney,D.Mooney,5,173,CHI,526.0,0.135945349,12731.0,0.034188929,0.117120924,39.0,173.0,5.0,7.0,519.0,0.113785714,0.136250098,1.0
Darrell Taylor,36001,ED,16,0.94,57.6,545,34.06,54.21,2021,2020,SEA,2,48,108.8,119.853684210526,-11.0536842105263,SEA,Darrell Taylor,100,2,48,1587774060,SEA,TaylDa00,Darrell Taylor,D.Taylor,2,48,SEA,2134.0,0.111815894,13602.0,0.036527988,0.106199573,171.0,48.0,2.0,38.0,2096.0,0.255130556,0.109333061,1.0
Darrynton Evans,40692,HB,5,0.31,57.8,16,3.2,18.06,2020,2020,TEN,3,93,34.39,149.23875,-114.84875,TEN,Darrynton Evans,100,3,93,1587784980,TEN,EvanDa02,Darrynton Evans,D.Evans,3,93,TEN,556.0,0.113425458,4841.0,0.01300044,0.108463721,48.0,93.0,3.0,2.0,554.0,0.21075,0.113067647,1.0
