"player","player_id","position","player_game_count","percentage_games_played","grades_offense","raw_usage","usage_rate","raw_value_provided","year","draft_year","draft_team","draft_round","draft_pick","sum_raw_value_provided","expected_value","value_delta","team_name"
"Tanner Muse",35997,"LB",1,0.06,59.9,1,1,3.52,2021,2020,"LV",3,100,27.98,105.269411764706,-77.2894117647059,"SEA"
"Tee Higgins",61211,"WR",16,1,75.9,527,32.94,75.9,2020,2020,"CIN",2,33,218.05,162.511578947368,55.5384210526316,"CIN"
"Terrell Burgess",45255,"S",4,0.25,47.7,49,12.25,11.93,2020,2020,"LAR",3,104,44.83,132.52,-87.69,"LAR"
"Terrell Lewis",42845,"ED",8,0.5,70.4,124,15.5,35.2,2020,2020,"LAR",3,84,97.25,117.721923076923,-20.4719230769231,"LAR"
"Trevis Gipson",35241,"ED",7,0.44,46.6,72,10.29,20.39,2020,2020,"CHI",5,155,135.55,72.9830769230769,62.5669230769231,"CHI"
"Trevon Diggs",41817,"CB",12,0.75,62.7,758,63.17,47.03,2020,2020,"DAL",2,51,170.02,108.398846153846,61.6211538461539,"DAL"
"Willie Gay",57987,"LB",15,0.94,68.1,269,17.93,63.84,2020,2020,"KC",2,63,156.38,137.032142857143,19.3478571428572,"KC"
"Kenneth Murray Jr.",58099,"LB",16,1,54.4,959,59.94,54.4,2020,2020,"LAC",1,23,124.2,133.908181818182,-9.70818181818181,"LAC"
"Tristan Wirfs",64818,"OL",16,1,81.8,1073,67.06,81.8,2020,2020,"TB",1,13,230.48,161.561785714286,68.9182142857142,"TB"
"Troy Dye",28251,"LB",10,0.63,28.8,201,20.1,18,2020,2020,"MIN",4,132,47.36,124.31,-76.95,"MIN"
"Troy Pride Jr.",42883,"CB",14,0.88,39.3,529,37.79,34.39,2020,2020,"CAR",4,113,34.39,82.3886666666667,-47.9986666666667,"CAR"
"Tua Tagovailoa",60326,"QB",10,0.63,65.4,347,34.7,40.88,2020,2020,"MIA",1,5,155.74,160.587333333333,-4.84733333333332,"MIA"
"Tyler Bass",33010,"K",16,1,67.4,93,5.81,67.4,2020,2020,"BUF",6,188,208.29,167.51,40.7778802,"BUF"
"Tyler Biadasz",41178,"OL",8,0.5,53.5,427,53.38,26.75,2020,2020,"DAL",4,146,149.62,71.4645833333333,78.1554166666667,"DAL"
"Tyler Davis",47743,"TE",4,0.25,40.9,26,6.5,10.23,2020,2020,"JAX",6,206,101.64,91.7177777777778,9.92222222222222,"JAX"
"Tyler Johnson",48054,"WR",14,0.88,58.9,171,12.21,51.54,2020,2020,"TB",5,161,106.94,122.469333333333,-15.5293333333333,"TB"
"Tyre Phillips",59874,"OL",12,0.75,47.1,418,34.83,35.33,2020,2020,"BAL",3,106,96.12,101.723333333333,-5.60333333333332,"BAL"
"Tyrie Cleveland",42134,"WR",7,0.44,76.2,33,4.71,33.34,2020,2020,"DEN",7,252,60.84,67.252,-6.41199999999999,"DEN"
"Van Jefferson",47447,"WR",15,0.94,67.1,159,10.6,62.91,2020,2020,"LAR",2,57,166.97,162.511578947368,4.45842105263159,"LAR"
"Vernon Scott",43076,"S",10,0.63,57.4,90,9,35.88,2020,2020,"GB",7,236,35.88,72.0883333333333,-36.2083333333333,"GB"
"Xavier McKinney",55775,"S",6,0.38,70,211,35.17,26.25,2020,2020,"NYG",2,36,132.25,125.228636363636,7.02136363636363,"NYG"
"Yetur Gross-Matos",56444,"ED",12,0.75,54.7,377,31.42,41.03,2020,2020,"CAR",2,38,144.77,119.853684210526,24.9163157894737,"CAR"
"Zack Baun",34632,"LB",12,0.75,62,82,6.83,46.5,2020,2020,"NO",3,74,90.86,105.269411764706,-14.4094117647059,"NO"
"Zack Moss",40341,"HB",13,0.81,72.3,126,9.69,58.74,2020,2020,"BUF",3,86,164.57,149.23875,15.33125,"BUF"
"Justin Rohrwasser",1,"K",0,0,0,0,0,0,2020,2020,"NE",5,159,0,149.7475,-149.7475,"NE"
"Cameron Clark",2,"OL",0,0,0,0,0,0,2020,2020,"NYJ",4,129,0,71.4645833333333,-71.4645833333333,"NYJ"
"James Morgan",3,"QB",0,0,0,0,0,0,2020,2020,"NYJ",4,125,0,39.35375,-39.35375,"NYJ"
"Reggie Robinson II",4,"CB",0,0,0,0,0,0,2020,2020,"DAL",4,123,0,82.3886666666667,-82.3886666666667,"DAL"
"Dustin Woodard",5,"OL",0,0,0,0,0,0,2020,2020,"NE",7,230,0,55.7338888888889,-55.7338888888889,"NE"
"Cole McDonald",6,"QB",0,0,0,0,0,0,2020,2020,"TEN",7,224,0,47.22,-47.22,"TEN"
"Simon Stepaniak",7,"OL",0,0,0,0,0,0,2020,2020,"GB",6,209,0,53.2691304347826,-53.2691304347826,"GB"
"Evan Weaver",8,"LB",0,0,0,0,0,0,2020,2020,"ARI",6,202,0,61.961875,-61.961875,"ARI"
"Tommy Stevens",9,"QB",0,0,0,0,0,0,2020,2020,"NO",7,240,0,47.22,-47.22,"NO"
"Nate Stanley",10,"QB",0,0,0,0,0,0,2020,2020,"MIN",7,244,0,47.22,-47.22,"MIN"
"Raymond Calais",11,"HB",0,0,0,0,0,0,2020,2020,"TB",7,245,0,56.8,-56.8,"TB"
"Brian Cole II",13,"LB",0,0,0,0,0,0,2020,2020,"MIN",7,249,0,47.888947368421,-47.888947368421,"MIN"
