round.x,pick.x,timestamp,team,playerid,full_name,name,associated_round,associated_pick,associated_team,count_text,mean_sentiment,comment_count,Team_Sentiment_Comment_Proportion,Team_Sentiment_Mean,offensive_word_count,pick.y,round.y,Direct_mentions,Indirect_mentions,avg_sentiment_direct_mentions,avg_sentiment_indirect_mentions,Direct_mention_binary
3,86,1587783120,BUF,MossZa00,Zack Moss,Z.Moss,3,86,BUF,792,0.13353798,7532,0.020227085,0.117431424,59,86,3,36,756,0.075680556,0.136330027,1
3,87,1587783300,NE,JennAn00,Anfernee Jennings,A.Jennings,3,87,NE,2545,0.123257905,18402,0.049418324,0.096257174,215,87,3,25,2520,0.057373913,0.123862345,1
3,88,1587783840,CLE,ElliJo02,Jordan Elliott,J.Elliott,3,88,CLE,600,0.103978378,12133,0.032583008,0.112528068,49,88,3,8,592,0.262285714,0.102084103,1
3,89,1587783960,MIN,DantCa00,Cameron Dantzler,C.Dantzler,3,89,MIN,566,0.108677442,21534,0.057829268,0.114465213,40,89,3,23,543,0.179904348,0.105643704,1
3,90,1587784080,HOU,GreeJo04,Jonathan Greenard,J.Greenard,3,90,HOU,618,0.064760884,5066,0.013604675,0.09754653,45,90,3,8,610,0.0293875,0.065230182,1
3,91,1587784200,NE,AsiaDe00,Devin Asiasi,D.Asiasi,3,91,NE,1719,0.101924176,18402,0.049418324,0.096257174,154,91,3,25,1694,0.159495833,0.101099761,1
3,92,1587784500,BAL,DuveDe00,Devin Duvernay,D.Duvernay,3,92,BAL,2393,0.102018602,12762,0.034272179,0.109538109,221,92,3,77,2316,0.102855263,0.101990762,1
3,93,1587784980,TEN,EvanDa02,Darrynton Evans,D.Evans,3,93,TEN,556,0.113425458,4841,0.01300044,0.108463721,48,93,3,2,554,0.21075,0.113067647,1
3,94,1587785100,GB,DeguJo00,Josiah Deguara,J.Deguara,3,94,GB,1531,0.115087003,33965,0.091212551,0.104027848,160,94,3,14,1517,0.148585714,0.114773092,1
3,95,1587785400,DEN,AgimMc00,McTelvin Agim,M.Agim,3,95,DEN,604,0.113932609,10740,0.028842126,0.129802805,41,95,3,7,597,-0.091242857,0.116362775,1
3,96,1587785520,KC,NianLu00,Lucas Niang,L.Niang,3,96,KC,705,0.11806291,6595,0.017710784,0.130861524,52,96,3,19,686,0.080252632,0.119116276,1
3,97,1587785640,CLE,PhilJa01,Jacob Phillips,J.Phillips,3,97,CLE,1147,0.115206903,12133,0.032583008,0.112528068,119,97,3,14,1133,0.110653846,0.115259893,1
3,98,1587785880,BAL,HarrMa06,Malik Harrison,M.Harrison,3,98,BAL,254,0.131643254,12762,0.034272179,0.109538109,25,98,3,8,246,0.229785714,0.128839184,1
3,99,1587786000,NYG,PearMa00,Matt Peart,M.Peart,3,99,NYG,612,0.088096205,12490,0.033541727,0.126600401,53,99,3,22,590,0.162580952,0.085422393,1
3,100,1587786120,LV,MuseTa00,Tanner Muse,T.Muse,3,100,LV,1877,0.111040097,11083,0.029763248,0.107186085,174,100,3,37,1840,0.09184,0.111408722,1
3,101,1587786480,NE,KeenDa00,Dalton Keene,D.Keene,3,101,NE,859,0.126499527,18402,0.049418324,0.096257174,69,101,3,23,836,0.082618182,0.127671117,1
3,102,1587786660,PIT,HighAl02,Alex Highsmith,A.Highsmith,3,102,PIT,263,0.12174636,7495,0.020127722,0.12302311,23,102,3,7,256,-0.067166667,0.126191373,1
3,103,1587786720,PHI,TaylDa01,Davion Taylor,D.Taylor,3,103,PHI,562,0.131434477,35223,0.094590893,0.058375155,51,103,3,3,559,0.143133333,0.13137078,1
3,104,1587786840,LA,BurgTe00,Terrell Burgess,T.Burgess,3,104,LA,534,0.152737051,3476,0.009334751,0.13010574,55,104,3,5,529,-0.0748,0.154470667,1
3,105,1587786960,NO,TrauAd00,Adam Trautman,A.Trautman,3,105,NO,691,0.089485147,6684,0.017949792,0.102622322,40,105,3,2,689,0,0.089749115,1
3,106,1587787080,BAL,PhilTy00,Tyre Phillips,T.Phillips,3,106,BAL,16608,0.160151867,12762,0.034272179,0.109538109,1695,106,3,58,16550,0.289335714,0.15970829,1
4,107,1587830940,CIN,DaviAk01,Akeem Davis-Gaither,A.Davis-Gaither,4,107,CIN,1,NA,6597,0.017716155,0.145045598,NA,107,4,0,1,0,0,0
4,108,1587831180,WAS,CharSa00,Saahdiq Charles,S.Charles,4,108,WAS,211,0.155312019,7335,0.019698044,0.108911643,13,108,4,2,209,0.5719,0.153299517,1
4,109,1587831360,LV,SimpJo00,John Simpson,J.Simpson,4,109,LV,1385,0.139155733,11083,0.029763248,0.107186085,115,109,4,25,1360,0.230475,0.137537075,1
4,110,1587831720,NYG,HolmDa01,Darnay Holmes,D.Holmes,4,110,NYG,413,0.127098786,12490,0.033541727,0.126600401,29,110,4,5,408,-0.04948,0.129268059,1
4,111,1587831840,MIA,KindSo00,Solomon Kindley,S.Kindley,4,111,MIA,202,0.116424747,14079,0.037808965,0.123932132,14,111,4,2,200,0,0.117612755,1
4,112,1587831900,LAC,KellJo01,Joshua Kelley,J.Kelley,4,112,LAC,600,0.146139562,7817,0.020992448,0.13591072,49,112,4,3,597,0.401133333,0.144845178,1
4,113,1587832080,CAR,PridTr00,Troy Pride Jr.,T.Jr.,4,113,CAR,431,0.14847217,6452,0.017326759,0.12620506,40,113,4,11,420,0.33106,0.144061836,1
4,114,1587832200,ARI,FotuLe00,Leki Fotu,L.Fotu,4,114,ARI,219,0.178213023,5532,0.014856112,0.138027594,21,114,4,5,214,-0.0433,0.183487143,1
4,115,1587832260,CLE,BryaHa00,Harrison Bryant,H.Bryant,4,115,CLE,674,0.13777988,12133,0.032583008,0.112528068,51,115,4,11,663,0.25549,0.135985518,1
4,116,1587832440,JAX,BartBe00,Ben Bartch,B.Bartch,4,116,JAX,854,0.170099643,6713,0.018027671,0.117975776,57,116,4,25,829,0.166516667,0.170204896,1
4,117,1587832680,MIN,WonnDJ00,D.J. Wonnum,D.Wonnum,4,117,MIN,295,0.084912628,21534,0.057829268,0.114465213,23,117,4,14,281,0.267614286,0.075744803,1
4,118,1587832740,DEN,OkwuAl00,Albert Okwuegbunam,A.Okwuegbunam,4,118,DEN,648,0.134484555,10740,0.028842126,0.129802805,64,118,4,10,638,0.137133333,0.134446835,1
4,119,1587832920,ATL,WalkMy00,Mykal Walker,M.Walker,4,119,ATL,870,0.164699073,7940,0.021322763,0.078852919,63,119,4,3,867,0.324966667,0.16414,1
4,120,1587833160,NYJ,PeriLa00,La'Mical Perine,L.Perine,4,120,NYJ,403,0.098829114,14679,0.039420257,0.113141363,37,120,4,5,398,0.26732,0.096668974,1
4,121,1587833280,DET,StenLo00,Logan Stenberg,L.Stenberg,4,121,DET,1089,0.165654198,14503,0.038947612,0.124482496,74,121,4,14,1075,0.2205,0.16508558,1
4,122,1587833580,IND,EasoJa00,Jacob Eason,J.Eason,4,122,IND,727,0.165708811,9313,0.025009936,0.130396679,60,122,4,84,643,0.159054217,0.166582753,1
4,123,1587833760,DAL,RobiRe00,Reggie Robinson II,R.II,4,123,DAL,897,0.159589314,13812,0.03709194,0.111480222,76,123,4,13,884,0.178108333,0.159335918,1
4,124,1587834000,PIT,McFaAn00,Anthony McFarland Jr.,A.Jr.,4,124,PIT,992,0.15261209,7495,0.020127722,0.12302311,65,124,4,13,979,0.1451,0.152705602,1
4,125,1587834240,NYJ,MorgJa00,James Morgan,J.Morgan,4,125,NYJ,1277,0.149873497,14679,0.039420257,0.113141363,100,125,4,30,1247,0.175110345,0.149280891,1
4,126,1587834540,HOU,HeckCh00,Charlie Heck,C.Heck,4,126,HOU,707,0.133425793,5066,0.013604675,0.09754653,55,126,4,38,669,0.076380556,0.136546809,1
4,127,1587834720,PHI,WallKV00,K'Von Wallace,K.Wallace,4,127,PHI,728,0.172530939,35223,0.094590893,0.058375155,53,127,4,15,713,0.167014286,0.172639718,1
4,128,1587834900,BUF,DaviGa01,Gabriel Davis,G.Davis,4,128,BUF,850,0.16258943,7532,0.020227085,0.117431424,53,128,4,14,836,0.06105,0.16405747,1
4,129,1587835140,NYJ,ClarCa00,Cameron Clark,C.Clark,4,129,NYJ,399,0.181110101,14679,0.039420257,0.113141363,22,129,4,4,395,0.1101,0.181834694,1
4,130,1587835260,MIN,LyncJa00,James Lynch,J.Lynch,4,130,MIN,763,0.177306974,21534,0.057829268,0.114465213,76,130,4,31,732,0.377753333,0.169069452,1
4,131,1587835440,ARI,LawrRa01,Rashard Lawrence,R.Lawrence,4,131,ARI,460,0.159100443,5532,0.014856112,0.138027594,36,131,4,7,453,0.117583333,0.159660225,1
4,132,1587835560,MIN,DyexTr00,Troy Dye,T.Dye,4,132,MIN,435,0.159959765,21534,0.057829268,0.114465213,27,132,4,18,417,0.192935294,0.158585784,1
4,133,1587835680,SEA,ParkCo02,Colby Parkinson,C.Parkinson,4,133,SEA,1318,0.078195706,13602,0.036527988,0.106199573,155,133,4,13,1305,0.187658333,0.077179025,1
4,134,1587835980,ATL,HawkJa00,Jaylinn Hawkins,J.Hawkins,4,134,ATL,293,0.097415225,7940,0.021322763,0.078852919,37,134,4,3,290,0,0.097753472,1
4,135,1587836040,PIT,DotsKe00,Kevin Dotson,K.Dotson,4,135,PIT,987,0.129266323,7495,0.020127722,0.12302311,94,135,4,14,973,-0.066683333,0.131718248,1
4,136,1587836280,LA,HopkBr01,Brycen Hopkins,B.Hopkins,4,136,LA,637,0.153372727,3476,0.009334751,0.13010574,48,136,4,7,630,0.36385,0.15133913,1
4,137,1587836460,JAX,ScotJo00,Josiah Scott,J.Scott,4,137,JAX,893,0.136056883,6713,0.018027671,0.117975776,76,137,4,11,882,0.188933333,0.135509885,1
4,138,1587836700,KC,SneeLJ00,L'Jarius Sneed,L.Sneed,4,138,KC,377,0.135160484,6595,0.017710784,0.130861524,28,138,4,1,376,0,0.135524798,1
4,139,1587836820,LV,RobeAm00,Amik Robertson,A.Robertson,4,139,LV,460,0.093386031,11083,0.029763248,0.107186085,46,139,4,9,451,0.070833333,0.093845249,1
4,140,1587836940,JAX,QuarSh00,Shaquille Quarterman,S.Quarterman,4,140,JAX,424,0.148373621,6713,0.018027671,0.117975776,41,140,4,4,420,0.296075,0.146943099,1
